timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716467096678,2,Sign Out-1,200,OK,Thread Group 1-6,text,true,,4922,533,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096671,7,Main Catalog,200,OK,Thread Group 1-5,text,true,,4832,468,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,7,0,0
1716467096668,13,Login,200,OK,Thread Group 1-2,text,true,,5262,1625,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,11,0,0
1716467096668,11,Login-0,302,Found,Thread Group 1-2,,true,,193,940,8,8,http://localhost:8080/jpetstore/actions/Account.action,11,0,0
1716467096679,2,Login-1,200,OK,Thread Group 1-2,text,true,,5069,685,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096671,10,Login,200,OK,Thread Group 1-4,text,true,,5262,1625,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,9,0,0
1716467096671,9,Login-0,302,Found,Thread Group 1-4,,true,,193,940,8,8,http://localhost:8080/jpetstore/actions/Account.action,9,0,0
1716467096680,1,Login-1,200,OK,Thread Group 1-4,text,true,,5069,685,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1716467096668,13,Birds,200,OK,Thread Group 1-3,text,true,,3710,249,8,8,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS,13,0,0
1716467096702,3,Sign In,200,OK,Thread Group 1-5,text,true,,3923,605,8,8,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=Cyh040DIwh0suhKAAxRyi18CwEQ9Bffd0qSi4igU.ppss-vb?signonForm=,3,0,0
1716467096722,5,Sign Out,200,OK,Thread Group 1-1,text,true,,5255,1075,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1716467096722,3,Sign Out-0,302,Found,Thread Group 1-1,,true,,333,542,8,8,http://localhost:8080/jpetstore/actions/Account.action?signoff=,3,0,0
1716467096725,2,Sign Out-1,200,OK,Thread Group 1-1,text,true,,4922,533,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096731,3,Birds,200,OK,Thread Group 1-2,text,true,,3710,249,8,8,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS,3,0,0
1716467096734,2,Main Catalog,200,OK,Thread Group 1-7,text,true,,5762,399,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096743,5,Sign Out,200,OK,Thread Group 1-3,text,true,,5255,1075,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1716467096743,3,Sign Out-0,302,Found,Thread Group 1-3,,true,,333,542,8,8,http://localhost:8080/jpetstore/actions/Account.action?signoff=,3,0,0
1716467096746,2,Sign Out-1,200,OK,Thread Group 1-3,text,true,,4922,533,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096765,5,Dogs,200,OK,Thread Group 1-4,text,true,,4296,248,8,8,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,5,0,0
1716467096768,2,Home,200,OK,Thread Group 1-6,text,true,,1497,391,8,8,http://localhost:8080/jpetstore/,2,0,0
1716467096768,2,Home-0,302,Found,Thread Group 1-6,,true,,146,195,8,8,http://localhost:8080/jpetstore,2,0,0
1716467096770,0,Home-1,200,OK,Thread Group 1-6,text,true,,1351,196,8,8,http://localhost:8080/jpetstore/,0,0,0
1716467096768,3,Home,200,OK,Thread Group 1-3,text,true,,1497,391,8,8,http://localhost:8080/jpetstore/,1,0,0
1716467096768,1,Home-0,302,Found,Thread Group 1-3,,true,,146,195,8,8,http://localhost:8080/jpetstore,1,0,0
1716467096769,2,Home-1,200,OK,Thread Group 1-3,text,true,,1351,196,8,8,http://localhost:8080/jpetstore/,2,0,0
1716467096765,6,Home,200,OK,Thread Group 1-8,text,true,,1497,253,8,8,http://localhost:8080/jpetstore/,4,0,3
